"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000234052.2",1.04298072609682,-1.53482887666252,1.36372008076641,-1.12547208060465,0.260389041682749,0.425936571916378,"ENSG00000234052","Not-Significant","AP001607.1","lincRNA"
"ENSG00000242296.2",2.71226660943003,0.941883770582239,0.836899154749686,1.12544476265358,0.260400611784698,0.425936571916378,"ENSG00000242296","Not-Significant","DEFB109P1","unprocessed_pseudogene"
"ENSG00000176984.6",1.73105361880574,1.17513860986848,1.0441882840103,1.12540872931005,0.26041587370239,0.425941649634137,"ENSG00000176984","Not-Significant","AP000679.2","antisense"
"ENSG00000251988.1",5.83772583562817,0.501516102300636,0.445722543968812,1.12517553596241,0.260514657676255,0.426063440933974,"ENSG00000251988","Not-Significant","RNU4ATAC18P","snRNA"
"ENSG00000232203.3",1.25643437128576,0.970038181130823,0.862178776006476,1.12510097456115,0.260546248401248,0.426095216017258,"ENSG00000232203","Not-Significant","SLC25A6P2","processed_pseudogene"
"ENSG00000259183.1",0.632837626973307,-2.82266009963287,2.50936650334977,-1.1248496765478,0.26065273971763,NA,"ENSG00000259183","Not-Significant","MED28P6","processed_pseudogene"
"ENSG00000234455.1",0.627783732883005,-2.35581010204504,2.09461156911385,-1.12470022451069,0.260716086544857,NA,"ENSG00000234455","Not-Significant","AC067960.1","lincRNA"
"ENSG00000283337.1",0.515536491297889,1.54115584861029,1.37056533904049,1.12446725793404,0.26081485313073,NA,"ENSG00000283337","Not-Significant","U6","snRNA"
"ENSG00000272163.1",4.40683280227731,0.903450505217214,0.803451893326544,1.1244612312464,0.260817408498808,0.426439140692353,"ENSG00000272163","Not-Significant","GS1-72M22.1","antisense"
"ENSG00000222455.1",1.33197378711391,1.10328711654489,0.981247038421557,1.12437242951546,0.260855063214063,0.426480803570148,"ENSG00000222455","Not-Significant","RNA5SP296","rRNA"
"ENSG00000235494.2",0.515390132012658,1.60416116348712,1.42681628996495,1.12429411885011,0.260888272508737,NA,"ENSG00000235494","Not-Significant","RP11-498P14.4","lincRNA"
"ENSG00000214654.8",217.056451619547,-0.370360689672335,0.329428761506602,-1.12425122803041,0.260906462507693,0.426539314447944,"ENSG00000214654","Not-Significant","RP11-27I1.4","transcribed_processed_pseudogene"
"ENSG00000258128.2",1.38957283728452,0.921871155260176,0.820017130959829,1.12420962984167,0.260924105139683,0.426539314447944,"ENSG00000258128","Not-Significant","MKRN9P","transcribed_processed_pseudogene"
"ENSG00000256073.3",221.041508864927,-0.359267237626959,0.319575363843691,-1.12420192002873,0.260927375117692,0.426539314447944,"ENSG00000256073","Not-Significant","URB1-AS1","lincRNA"
"ENSG00000279957.1",1.60285004600023,-1.40732112799382,1.25191641763017,-1.12413345505751,0.260956414542941,0.426566882074928,"ENSG00000279957","Not-Significant","RP11-141B14.2","TEC"
