"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000131435.13",1364.0066764065,1.81759332140884,0.36264336026191,5.01206838613046,5.3848058704338e-07,1.06225604544284e-05,"ENSG00000131435","Over-expressed","PDLIM4","protein_coding"
"ENSG00000147576.17",175.210102908401,1.9153584098454,0.382274711388995,5.0104240557424,5.43102278807682e-07,1.06956651703357e-05,"ENSG00000147576","Over-expressed","ADHFE1","protein_coding"
"ENSG00000135063.19",2220.89518330971,2.18869105344522,0.436973079066043,5.00875490573282,5.47832836686453e-07,1.07767116413868e-05,"ENSG00000135063","Over-expressed","FAM189A2","protein_coding"
"ENSG00000277423.1",12.5646630486958,1.93031425411001,0.385424704546439,5.00827848173761,5.4919034734229e-07,1.07973534338592e-05,"ENSG00000277423","Over-expressed","RP11-173P15.9","lincRNA"
"ENSG00000156475.18",168.23794660314,1.95460009916168,0.390301766124678,5.00792020125602,5.50213358808954e-07,1.08113993414872e-05,"ENSG00000156475","Over-expressed","PPP2R2B","protein_coding"
"ENSG00000165072.10",1715.10969068,3.46130492866259,0.691842890927047,5.00302160223769,5.64386136088868e-07,1.10712588341957e-05,"ENSG00000165072","Over-expressed","MAMDC2","protein_coding"
"ENSG00000258754.8",6.12931170762396,2.88250223751448,0.576169674666105,5.00287044642694,5.64829014794814e-07,1.10737462413745e-05,"ENSG00000258754","Over-expressed","LINC01579","lincRNA"
"ENSG00000158301.18",1096.74055270529,1.31435266890322,0.262761112271696,5.00208214807742,5.67144123470201e-07,1.11129163119566e-05,"ENSG00000158301","Over-expressed","GPRASP2","protein_coding"
"ENSG00000141576.16",377.746609099056,2.29602379138499,0.459148919105898,5.00060807255311,5.71497823013211e-07,1.11919654719217e-05,"ENSG00000141576","Over-expressed","RNF157","protein_coding"
"ENSG00000064205.10",2958.42468320216,3.04616448764272,0.609396659425947,4.99865636039458,5.77311823473241e-07,1.12995082320587e-05,"ENSG00000064205","Over-expressed","WISP2","protein_coding"
"ENSG00000132837.15",294.726237194449,2.39726809416641,0.479703794124486,4.99739239824378,5.81107445501587e-07,1.13674479917075e-05,"ENSG00000132837","Over-expressed","DMGDH","protein_coding"
"ENSG00000267280.5",38.0527183243995,2.05429589404952,0.411123750347508,4.99678233698029,5.82948028930631e-07,1.139262338643e-05,"ENSG00000267280","Over-expressed","TBX2-AS1","antisense"
"ENSG00000259030.7",56.6960168243023,1.80430511473616,0.361226751734673,4.99493768407677,5.88547684617814e-07,1.1487336005897e-05,"ENSG00000259030","Over-expressed","FPGT-TNNI3K","protein_coding"
"ENSG00000152492.15",7275.5003706202,1.14696129579006,0.229646833911498,4.99445725531785,5.90014570494794e-07,1.15095548314505e-05,"ENSG00000152492","Over-expressed","CCDC50","protein_coding"
