"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000018625.15",2651.44871659131,5.48086627377794,0.815203907835321,6.7233071641324,1.7764553927101e-11,1.2179670192485e-09,"ENSG00000018625","Over-expressed","ATP1A2","protein_coding"
"ENSG00000007968.7",715.778583655477,-3.49272479401601,0.519568731015091,-6.72235372439024,1.78812214020294e-11,1.22357146839863e-09,"ENSG00000007968","Down-regulated","E2F2","protein_coding"
"ENSG00000204767.4",668.069764021559,4.00272416397594,0.595691460075546,6.71945870009335,1.82400872137449e-11,1.24569484509464e-09,"ENSG00000204767","Over-expressed","FAM196B","protein_coding"
"ENSG00000174611.12",255.046545325504,4.29031424530758,0.638811467794476,6.71608833216485,1.8666766249776e-11,1.27235438825078e-09,"ENSG00000174611","Over-expressed","KY","protein_coding"
"ENSG00000100479.13",333.104215797475,-1.79486362488059,0.267268760741657,-6.71557581177811,1.87325001808424e-11,1.27435561909867e-09,"ENSG00000100479","Down-regulated","POLE2","protein_coding"
"ENSG00000130520.11",4415.04507678385,-1.8847094613063,0.280762554190719,-6.71282346301078,1.90894017174385e-11,1.29611858366368e-09,"ENSG00000130520","Down-regulated","LSM4","protein_coding"
"ENSG00000109956.13",145.986436962941,3.6464083244393,0.543544046499397,6.70857927324082,1.96528397287264e-11,1.33179350076582e-09,"ENSG00000109956","Over-expressed","B3GAT1","protein_coding"
"ENSG00000101463.6",275.743719861702,-3.28590249922,0.489901736098881,-6.7072685338612,1.98301148272137e-11,1.34013007980057e-09,"ENSG00000101463","Down-regulated","SYNDIG1","protein_coding"
"ENSG00000141404.17",768.432839167887,2.25240050076195,0.335835463446783,6.70685721408,1.98860671285027e-11,1.34013007980057e-09,"ENSG00000141404","Over-expressed","GNAL","protein_coding"
"ENSG00000092529.25",220.198943523352,2.03841898887115,0.303932090157138,6.7068238428435,1.98906134293219e-11,1.34013007980057e-09,"ENSG00000092529","Over-expressed","CAPN3","protein_coding"
"ENSG00000146410.12",193.204813636873,-3.18182685229126,0.474542267447258,-6.70504414581973,2.01345488049669e-11,1.35396145370828e-09,"ENSG00000146410","Down-regulated","MTFR2","protein_coding"
"ENSG00000093009.11",561.394824608308,-3.4063046031085,0.508190363387508,-6.70281226980117,2.04446053461266e-11,1.37146787589814e-09,"ENSG00000093009","Down-regulated","CDC45","protein_coding"
"ENSG00000066044.15",5683.90140230547,-1.05115441862628,0.156859886190461,-6.70123155227821,2.06670246507392e-11,1.37941638412799e-09,"ENSG00000066044","Down-regulated","ELAVL1","protein_coding"
"ENSG00000104321.11",269.463603000615,-5.19939483114022,0.775889366592872,-6.70120645417797,2.06705751867331e-11,1.37941638412799e-09,"ENSG00000104321","Down-regulated","TRPA1","protein_coding"
"ENSG00000133116.8",463.507403957423,2.99102322179827,0.446567820427788,6.697802853177,2.11576431322631e-11,1.40389777867204e-09,"ENSG00000133116","Over-expressed","KL","protein_coding"
"ENSG00000137726.17",486.622456602359,1.68428120176825,0.251486695740714,6.69729743280242,2.12309223100461e-11,1.40609709476836e-09,"ENSG00000137726","Over-expressed","FXYD6","protein_coding"
"ENSG00000134222.16",555.057262864651,-2.46285154141913,0.367763755904827,-6.69683051109716,2.12988404767319e-11,1.40793372849491e-09,"ENSG00000134222","Down-regulated","PSRC1","protein_coding"
"ENSG00000131747.15",6912.04035789778,-3.3441700094465,0.499460613717035,-6.69556300858012,2.14842849713614e-11,1.41751774759256e-09,"ENSG00000131747","Down-regulated","TOP2A","protein_coding"
"ENSG00000071553.18",10709.5197992398,-1.06717495659769,0.159423251886264,-6.69397308090937,2.17191388005983e-11,1.43031960127624e-09,"ENSG00000071553","Down-regulated","ATP6AP1","protein_coding"
"ENSG00000068489.13",1058.79922631284,-2.8218299195344,0.422048385717156,-6.68603414923498,2.29299540847727e-11,1.5072250306942e-09,"ENSG00000068489","Down-regulated","PRR11","protein_coding"
"ENSG00000104549.12",4115.30343535713,-2.52812076933804,0.378197684781558,-6.684654272271,2.31470445072733e-11,1.51864551369349e-09,"ENSG00000104549","Down-regulated","SQLE","protein_coding"
"ENSG00000273079.6",107.479635537691,3.24312029543042,0.485240545433659,6.68353113924569,2.33252266914352e-11,1.52747535912978e-09,"ENSG00000273079","Over-expressed","GRIN2B","protein_coding"
"ENSG00000204161.14",1027.06813629942,2.17694189622367,0.326013184862604,6.67746581213003,2.4310929770876e-11,1.58905489649746e-09,"ENSG00000204161","Over-expressed","C10orf128","protein_coding"
"ENSG00000108799.13",4094.67458474531,1.37424320810556,0.205935702673802,6.67316638282158,2.50342290720328e-11,1.63328531757667e-09,"ENSG00000108799","Over-expressed","EZH1","protein_coding"
"ENSG00000123119.12",276.1079065001,2.61768270400683,0.392392664174448,6.67107961743922,2.53928407757256e-11,1.65280237232321e-09,"ENSG00000123119","Over-expressed","NECAB1","protein_coding"
"ENSG00000084628.10",2680.77408795328,-5.96706162040549,0.894530645478622,-6.67060614475963,2.54749045541469e-11,1.65280237232321e-09,"ENSG00000084628","Down-regulated","NKAIN1","protein_coding"
"ENSG00000130208.9",915.070781077638,-2.17491539118381,0.326079614061017,-6.6698907180896,2.55993973001773e-11,1.65780939817322e-09,"ENSG00000130208","Down-regulated","APOC1","protein_coding"
"ENSG00000078596.11",3573.31075109078,2.30141580276587,0.345441038372509,6.66225360370797,2.69660177242455e-11,1.74308935603125e-09,"ENSG00000078596","Over-expressed","ITM2A","protein_coding"
"ENSG00000189221.10",7171.75087276069,3.48916246264754,0.523756370520037,6.66180434079141,2.70485977731129e-11,1.74520740880481e-09,"ENSG00000189221","Over-expressed","MAOA","protein_coding"
"ENSG00000169248.13",392.608077396107,-3.40631439568416,0.511535735399544,-6.65899596051407,2.75704512394855e-11,1.77560801319003e-09,"ENSG00000169248","Down-regulated","CXCL11","protein_coding"
"ENSG00000189159.16",4578.84056563595,-2.51534095847937,0.377869874078338,-6.65663269561918,2.80172186502131e-11,1.79777153005534e-09,"ENSG00000189159","Down-regulated","HN1","protein_coding"
"ENSG00000182902.14",105.660991559597,2.36812184471468,0.355786776148499,6.65601422950659,2.81353026880492e-11,1.80204813469069e-09,"ENSG00000182902","Over-expressed","SLC25A18","protein_coding"
"ENSG00000185507.21",1769.65880773562,-2.49135748928798,0.374583091535103,-6.65101427583927,2.91080044533465e-11,1.86094696354561e-09,"ENSG00000185507","Down-regulated","IRF7","protein_coding"
"ENSG00000205155.8",795.491728725089,-1.11093541787058,0.167072663914924,-6.64941464293816,2.94260938166715e-11,1.87444217612198e-09,"ENSG00000205155","Down-regulated","PSENEN","protein_coding"
"ENSG00000151012.13",599.936863120318,-2.95609470488566,0.444659078281493,-6.6480025918065,2.97097076479956e-11,1.88823779317459e-09,"ENSG00000151012","Down-regulated","SLC7A11","protein_coding"
"ENSG00000079337.16",1842.5260786015,2.54521128212629,0.382865155087614,6.64780079436544,2.9750457023901e-11,1.88823779317459e-09,"ENSG00000079337","Over-expressed","RAPGEF3","protein_coding"
"ENSG00000196976.7",863.691344794461,-1.8482152223558,0.278260154360167,-6.64204052716638,3.09369865894574e-11,1.95645726563473e-09,"ENSG00000196976","Down-regulated","LAGE3","protein_coding"
"ENSG00000102384.13",346.398699066303,-2.50908247789058,0.377789009443225,-6.64149145468364,3.10524758734537e-11,1.96022250851613e-09,"ENSG00000102384","Down-regulated","CENPI","protein_coding"
"ENSG00000130032.17",268.586281472537,3.65719423289,0.550929083798827,6.63823047364374,3.1747120319018e-11,2.00046827405898e-09,"ENSG00000130032","Over-expressed","PRRG3","protein_coding"
"ENSG00000186198.4",33.1633879455058,2.34704009769172,0.353758284039946,6.63458695832743,3.25412463756378e-11,2.04315872181088e-09,"ENSG00000186198","Over-expressed","SLC51B","protein_coding"
"ENSG00000166947.15",32.4273566144773,5.44377694462955,0.821254322927521,6.62861283362765,3.38856054823016e-11,2.11996819298649e-09,"ENSG00000166947","Over-expressed","EPB42","protein_coding"
"ENSG00000065534.19",21302.4635096509,2.25646940496215,0.340484920831583,6.62722272531501,3.42061329069301e-11,2.1362065354622e-09,"ENSG00000065534","Over-expressed","MYLK","protein_coding"
"ENSG00000164330.17",3372.43499577709,3.1245244943064,0.471515320747011,6.62655985251186,3.4360019252443e-11,2.14199870909135e-09,"ENSG00000164330","Over-expressed","EBF1","protein_coding"
"ENSG00000164056.11",5127.54891304217,2.07146859874158,0.312642729046001,6.6256733526555,3.4566880080146e-11,2.15106686253626e-09,"ENSG00000164056","Over-expressed","SPRY1","protein_coding"
"ENSG00000116161.18",5045.7746336705,-1.34337374647859,0.202973149518082,-6.61848007811949,3.62910803902461e-11,2.24355525638141e-09,"ENSG00000116161","Down-regulated","CACYBP","protein_coding"
"ENSG00000119147.10",946.80775455188,4.53904994428053,0.685909950733485,6.61755954907295,3.6517713266754e-11,2.25246141602241e-09,"ENSG00000119147","Over-expressed","C2orf40","protein_coding"
"ENSG00000184937.16",95.8199215208497,-5.95381026022238,0.899895828885978,-6.61611051980636,3.68772708824867e-11,2.27064180205259e-09,"ENSG00000184937","Down-regulated","WT1","protein_coding"
"ENSG00000188368.10",118.140102642512,-2.37324770830893,0.358945047343679,-6.6117299176345,3.79854569753826e-11,2.33477278093426e-09,"ENSG00000188368","Down-regulated","PRR19","protein_coding"
"ENSG00000186193.9",659.1671741428,-3.09579103263096,0.468515938847146,-6.60765360565666,3.90458971697825e-11,2.3957495750321e-09,"ENSG00000186193","Down-regulated","SAPCD2","protein_coding"
"ENSG00000225950.8",52.1023709460633,3.51515755143573,0.532013120797304,6.60727605019915,3.91455703341322e-11,2.3976661829656e-09,"ENSG00000225950","Over-expressed","NTF4","protein_coding"
"ENSG00000163507.14",656.86852886856,-2.08077408019391,0.315170691490581,-6.60205449419492,4.05498390308922e-11,2.47934312468989e-09,"ENSG00000163507","Down-regulated","KIAA1524","protein_coding"
"ENSG00000180287.17",55.5608964118676,3.34167510197966,0.506322987334929,6.59988818514607,4.11467999173939e-11,2.51146016568971e-09,"ENSG00000180287","Over-expressed","PLD5","protein_coding"
"ENSG00000165410.15",2429.95987442454,1.76372699324935,0.267376775732197,6.59641058360241,4.21231355297017e-11,2.56658096223148e-09,"ENSG00000165410","Over-expressed","CFL2","protein_coding"
"ENSG00000169247.14",257.256762333281,2.4576847527046,0.372648667544541,6.59517923114764,4.24742422910205e-11,2.58028463548822e-09,"ENSG00000169247","Over-expressed","SH3TC2","protein_coding"
"ENSG00000129467.14",1470.92176889592,2.60994070816386,0.39573903483666,6.59510555798748,4.24953399365407e-11,2.58028463548822e-09,"ENSG00000129467","Over-expressed","ADCY4","protein_coding"
"ENSG00000065600.13",742.885415456283,-1.8242064188161,0.276614673728198,-6.59475650452503,4.25954371796422e-11,2.58188778821585e-09,"ENSG00000065600","Down-regulated","TMEM206","protein_coding"
"ENSG00000138640.15",3233.53957548289,2.00289036332002,0.303800471547938,6.59278227290039,4.31659402537478e-11,2.61194942450787e-09,"ENSG00000138640","Over-expressed","FAM13A","protein_coding"
"ENSG00000166816.15",550.559959410621,2.68732483728428,0.407674272483572,6.5918430930482,4.34399571546056e-11,2.62399810157174e-09,"ENSG00000166816","Over-expressed","LDHD","protein_coding"
"ENSG00000135917.16",4963.72156070997,5.33352034589749,0.80938524419743,6.58959424345091,4.41030209574817e-11,2.65946529990598e-09,"ENSG00000135917","Over-expressed","SLC19A3","protein_coding"
"ENSG00000211445.12",31990.3203197746,4.44359548880149,0.675324973445155,6.57993656910478,4.70649010643788e-11,2.83319382953696e-09,"ENSG00000211445","Over-expressed","GPX3","protein_coding"
"ENSG00000113810.16",3982.91534992321,-1.98037020380349,0.301726862756528,-6.56345340189848,5.25756702778865e-11,3.15950018556733e-09,"ENSG00000113810","Down-regulated","SMC4","protein_coding"
"ENSG00000180044.5",138.930651807711,-1.68329765234793,0.256514502374764,-6.56219292384747,5.302215253837e-11,3.17543780202016e-09,"ENSG00000180044","Down-regulated","C3orf80","protein_coding"
"ENSG00000204866.8",61.1273206593489,-4.17109977034585,0.635861520184993,-6.55976126552262,5.38939903115725e-11,3.21143002908038e-09,"ENSG00000204866","Down-regulated","IGFL2","protein_coding"
"ENSG00000163882.9",2229.44949358887,-1.06607620390871,0.162517814384726,-6.55974982154882,5.38981263621881e-11,3.21143002908038e-09,"ENSG00000163882","Down-regulated","POLR2H","protein_coding"
"ENSG00000105996.7",85.5758366008565,2.72569139746274,0.415563496388571,6.55902508557704,5.41606919561884e-11,3.22159565820893e-09,"ENSG00000105996","Over-expressed","HOXA2","protein_coding"
"ENSG00000198010.13",29.8826451555672,2.49338887824429,0.380358261197849,6.55536932572978,5.55043344937618e-11,3.28478776856241e-09,"ENSG00000198010","Over-expressed","DLGAP2","protein_coding"
"ENSG00000077264.15",656.780054539384,2.9816873897104,0.454926101586946,6.55422359655601,5.59321084867728e-11,3.29341415266233e-09,"ENSG00000077264","Over-expressed","PAK3","protein_coding"
"ENSG00000186283.14",3828.06913095894,-1.51210363882636,0.230875080366045,-6.54944499176338,5.77513081990291e-11,3.38347338253007e-09,"ENSG00000186283","Down-regulated","TOR3A","protein_coding"
"ENSG00000176393.11",4773.47495819618,-1.3613685480547,0.208001813644921,-6.54498402777725,5.95017446595872e-11,3.47440604024773e-09,"ENSG00000176393","Down-regulated","RNPEP","protein_coding"
"ENSG00000124440.16",473.467865674649,4.6351310981781,0.708225985714294,6.54470633904128,5.96124061839898e-11,3.47507595783042e-09,"ENSG00000124440","Over-expressed","HIF3A","protein_coding"
"ENSG00000004776.13",1136.91674811446,5.16310496673665,0.789538120118123,6.53939921984286,6.17664467610684e-11,3.59466355859474e-09,"ENSG00000004776","Over-expressed","HSPB6","protein_coding"
"ENSG00000131187.10",265.776134627932,-3.86761789674067,0.591521235951387,-6.53842611503221,6.21695845820876e-11,3.61212503454965e-09,"ENSG00000131187","Down-regulated","F12","protein_coding"
"ENSG00000170667.15",196.121536919628,2.10412198654288,0.321838263411359,6.53782419852759,6.24202335862543e-11,3.62068358227553e-09,"ENSG00000170667","Over-expressed","RASA4B","protein_coding"
"ENSG00000197275.14",124.32010728855,-2.12245890103765,0.324670992461204,-6.53726064329961,6.26558040131853e-11,3.62834065058173e-09,"ENSG00000197275","Down-regulated","RAD54B","protein_coding"
"ENSG00000076944.16",1514.33878492331,-1.78964527814481,0.273794918310081,-6.53644446431245,6.29985154035287e-11,3.64216664548288e-09,"ENSG00000076944","Down-regulated","STXBP2","protein_coding"
